192,1
231,1
240,1
58,1
83,1
130,1
204,1
64,1
65,1
210,1
213,1
186,1
160,1
166,1
224,1
243,1
88,1
208,1
127,1
245,1
79,1
18,1
246,1
82,1
142,1
234,1
177,1
86,1
104,1
198,1
198,2
58,1
58,2
197,1
197,2
190,1
190,2
92,1
92,2
64,1
64,2
161,1
161,2
187,1
187,2
210,1
210,2
159,1
159,2
186,1
186,2
138,1
138,2
160,1
160,2
224,1
224,2
13,1
13,2
108,1
108,2
88,1
88,2
175,1
175,2
61,1
61,2
14,1
14,2
50,1
50,2
245,1
245,2
79,1
79,2
18,1
18,2
246,1
246,2
139,1
139,2
177,1
177,2
236,1
236,2
89,1
89,2
86,1
86,2
104,1
104,2
192,1
192,2
172,1
172,2
90,1
90,2
231,1
231,2
240,1
240,2
83,1
83,2
130,1
130,2
204,1
204,2
48,1
48,2
195,1
195,2
65,1
65,2
42,1
42,2
52,1
52,2
213,1
213,2
23,1
23,2
126,1
126,2
235,1
235,2
10,1
10,2
166,1
166,2
243,1
243,2
148,1
148,2
157,1
157,2
208,1
208,2
95,1
95,2
156,1
156,2
182,1
182,2
127,1
127,2
183,1
183,2
26,1
26,2
105,1
105,2
9,1
9,2
163,1
163,2
82,1
82,2
29,1
29,2
142,1
142,2
234,1
234,2
205,1
205,2
73,1
73,2
110,1
110,2
